text,label
What brought you in today?,doctor
"Sure, I'm I'm just having a lot of chest pain and and so I thought I should get it checked out.",patient
"OK, before we start, could you remind me of your gender and age?",doctor
"Sure 39, I'm a male.",patient
"OK, and so when did this chest pain start?",doctor
"It started last night, but it's becoming sharper.",patient
"OK, and where is this pain located?",doctor
It's located on the left side of my chest.,patient
"OK, and, so how long has it been going on for then if it started last night?",doctor
"So I guess it would be a couple of hours now, maybe like 8.",patient
"OK. Has it been constant throughout that time, or uh, or changing?",doctor
"I would say it's been pretty constant, yeah.",patient
"OK, and how would you describe the pain? People will use words sometimes like sharp, burning, achy.",doctor
"I'd say it's pretty sharp, yeah.",patient
"Sharp OK. Uh, anything that you have done tried since last night that's made the pain better?",doctor
Um not laying down helps.,patient
"OK, so do you find laying down makes the pain worse?",doctor
"Yes, definitely.",patient
"OK, do you find that the pain is radiating anywhere?",doctor
No.,patient
"OK, and is there anything else that makes the pain worse besides laying down?",doctor
"Not that I've noticed, no.",patient
"OK, so not like taking a deep breath or anything like that?",doctor
Maybe taking a deep breath. Yeah.,patient
"OK. And when the pain started, could you tell me uh, could you think of anything that you were doing at the time?",doctor
"I mean, I was moving some furniture around, but, that I've done that before.",patient
"OK, so you didn't feel like you hurt yourself when you were doing that?",doctor
No.,patient
"OK, and in regards to how severe the pain is on a scale of 1 to 10, 10 being the worst pain you've ever felt, how severe would you say the pain is?",doctor
I'd say it's like a seven or eight. It's pretty bad.,patient
"OK, and with the pain, do you have any other associated symptoms?",doctor
I feel a little lightheaded and I'm having some trouble breathing.,patient
OK. Have you had any loss of consciousness?,doctor
No.,patient
"OK. Uh, have you been experiencing any like racing of the heart?",doctor
"Um, a little bit, yeah.",patient
OK. And have you been sweaty at all?,doctor
Just from the from having issues breathing.,patient
"OK, have you been having issues breathing since the pain started?",doctor
Yes.,patient
"OK. Um recently have you had any periods of time where you like have been immobilized or or, you haven't been like able to move around a lot?",doctor
No no.,patient
OK. And have you been feeling sick at all? Any infectious symptoms?,doctor
No.,patient
"OK, have you had any nausea or vomiting?",doctor
No.,patient
Any fevers or chills?,doctor
No.,patient
"OK, how about any abdominal pain?",doctor
No.,patient
Any urinary problems?,doctor
No.,patient
Or bowel problems?,doctor
No.,patient
"OK, have you had a cough?",doctor
No.,patient
OK. You haven't brought up any blood?,doctor
No.,patient
"OK, have you had a wheeze with your difficulty breathing?",doctor
"No, not that I've heard.",patient
"OK, any changes to the breath sounds at all like any noisy breathing?",doctor
"No. Well, I guess if when I'm really having trouble breathing, yeah.",patient
OK. Has anything like this ever happened to you before?,doctor
No.,patient
"No, OK. And have you had any night sweats?",doctor
No.,patient
"Alright, and then how about any rashes or skin changes?",doctor
"No rashes, but I guess like my neck seems to be a little swollen.",patient
"OK, do you have any neck pain?",doctor
No.,patient
"OK, have you had any like accidents like a car accident or anything where you really jerked your neck?",doctor
No.,patient
OK. Um any any trauma at all to the chest or or back?,doctor
No.,patient
"OK, so just in regards to past medical history, do you have any prior medical conditions?",doctor
No.,patient
"OK, any recent hospitalizations?",doctor
No.,patient
"OK, any prior surgeries?",doctor
No.,patient
"OK, do you take any medications regularly? Are they prescribed or over the counter?",doctor
No.,patient
"Alright, how about any allergies to medications?",doctor
None.,patient
"Alright, any immunizations or are they up to date?",doctor
They are all up to date.,patient
"Excellent. Alright, and could you tell me a little bit about your living situation currently?",doctor
"Sure, I live in an apartment by myself. I, uh, yep, that's about it.",patient
"OK, and how do you support yourself financially?",doctor
I'm an accountant.,patient
"OK, sounds like a pretty stressful job or that it can be. Do you smoke cigarettes?",doctor
I do.,patient
"OK, and how much do you smoke?",doctor
I smoke about a pack a day.,patient
"OK, how long have you been smoking for?",doctor
For the past 10 to 15 years.,patient
"OK, and do you smoke cannabis?",doctor
Uh sometimes.,patient
"Uh, how much marijuana would you smoke per per week?",doctor
"Per week, maybe about 5 milligrams. Not that much.",patient
"OK, and do you use any other recreational drugs like cocaine, crystal, meth, opioids?",doctor
No.,patient
OK. Have you used IV drugs before?,doctor
No.,patient
OK. And do you drink alcohol?,doctor
I do.,patient
OK. How much alcohol do you drink each week?,doctor
"Uhm about I would say I have like one or two drinks a day, so about 10 drinks a week.",patient
"OK, uh, yeah and um alright, and then briefly, could you tell me a little bit about your like diet and exercise?",doctor
"Sure, I try to eat healthy for dinner at least, but most of my lunches are, uh I eat out. And then in terms of exercise, I try to exercise every other day, I run for about half an hour.",patient
No.,patient
"OK, has anybody in the family had a heart attack before?",doctor
"Actually, yes, my father had a heart attack when he was 45.",patient
"OK, and anybody in the family have cholesterol problems?",doctor
I think my father did.,patient
"I see OK, and how about anybody in the family have a stroke?",doctor
No strokes.,patient
"OK, and then any cancers in the family?",doctor
No.,patient
"OK, and is there anything else that you wanted to tell me about today that that I on on history?",doctor
"No, I don't think so. I think you asked me everything.",patient
What brings you in here today?,doctor
"Yeah, I have this pain in my chest.",patient
"OK, and where is the pain exactly?",doctor
It's just right  over on the on the left side.,patient
"OK, and when did this pain start?",doctor
It started just 30 minutes ago.,patient
"OK, and did it just come on randomly or were you doing something strenuous?",doctor
I was just shovelling the driveway and it came on.,patient
"OK, and has that pain been getting worse at all over the last half an hour?",doctor
"No, it just came on suddenly and it's uh, uh, I'm sorry. Yeah the pain has been there this whole time and it's gotten worse ever since it started.",patient
"OK, and how would you describe the pain? Is it kind of like an aching pain or is it a sharp or tight tightness kind of pain? How would you describe it?",doctor
It feels dull. I feel like there's a lot of pressure on my chest.,patient
"And how do you rate the pain right now on a scale of zero to 10, zero being the least amount of pain you felt in your life, 10 being the worst?",doctor
"Uh, seven.",patient
"Seven, OK. Have you had ny similar episodes before?",doctor
"No, I've never had any chest pain before.",patient
"OK, and is the pain just staying in the region of the left chest area that you mentioned or is it traveling to any other part of your body?",doctor
"No, I'm kind of just feeling it right here. On the left side.",patient
"OK, uh, is there anything that you do that makes the pain either get worse or go away or like get better?",doctor
"Uh. I think it's a bit bit worse if I'm moving around or when I was walking in here. I think it it made it a bit worse, but nothing has seemed to make it any better since it starting.",patient
"OK, and does it change at all from you changing positions like if you're standing up versus sitting down or laying down?",doctor
I think it's a little bit worse when I when I'm laying down.,patient
"OK, and other than the pain that you've been having, have you been having any other symptoms like a cough or difficulty breathing or any pain when you're breathing in or out?",doctor
"Uh, I've felt a little bit uh short of breath or having difficulty breathing since yesterday when the sorry since the pain started, but uh just the difficulty breathing.",patient
OK. And have you recently injured your chest or surrounding area at all? Like from a fall or anything like that?,doctor
I do I play rugby and was tackled by another player yesterday. But but my chest felt fine after that.,patient
OK so but the pain just started half an hour ago?,doctor
Yeah.,patient
"OK, have you have you been traveling at all recently?",doctor
"No, been at home.",patient
"OK, has anyone around you been sick at all?",doctor
No.,patient
"OK, have you been having any symptoms like nausea or vomiting or any fevers or chills?",doctor
"No nausea or vomiting, but I do feel a little bit hot today.",patient
"OK, but have you measured your temperature at all?",doctor
Uh I did and it was 38 degrees.,patient
"OK, and have you been having any kind of swelling in your legs or feet?",doctor
"Uh, no swelling in my legs.",patient
"OK. Have you been feeling tired at all, like increasingly fatigued?",doctor
"No, my energy has been good.",patient
It uhh it does feel like it's beating faster right now. It usually only feels like this when I'm playing sports.,patient
OK. And have you noticed any changes in your skin at all? Any rashes?,doctor
No rashes.,patient
"OK, have you had any cough or runny nose or sore throat? Any kind of those symptoms and in the past month?",doctor
"Uh few weeks ago I was a little runny, but that went away on its own. I haven't had any cough.",patient
"OK, and have you been feeling dizzy at all or have you fainted?",doctor
No dizziness and uh no I haven't fainted at all.,patient
OK. Just a few more questions. Have you had any diagnosis made by any physician or any anything like diabetes or high blood pressure?,doctor
"Yeah, I've been told I have high cholesterol and high blood pressure.",patient
"OK, and do you take any medications for the these things?",doctor
"Um, I do take medications for both blood pressure and cholesterol, Rosuvastatin and um Lisinopril and I take a multi vitamin.",patient
"OK, and do you have any allergies to any medications at all?",doctor
No allergies.,patient
"OK, have you at all in the past been hospitalized for any reason?",doctor
No hospitalizations.,patient
Any previous surgeries?,doctor
No.,patient
"OK, and within your family, has anyone passed away from a heart attack or any cancers that run in the family?",doctor
No.,patient
"OK, and currently right now, do you live alone? Do you live with someone? And where do you live, like an apartment or house?",doctor
"I I live in a house with um, my parents.",patient
"OK, and do you currently work?",doctor
"Yeah, I I drive a bus for the city.",patient
"OK. And in your daily routine, would you say you get enough exercise throughout the week?",doctor
"Uhh yeah, usually on Sundays I'll go for a run.",patient
"OK, and how about your diet? Well, how's your diet like, just regularly?",doctor
"Uhh, usually I feel like it's fairly balanced overall, I might I eat out a little bit too often, but try to eat as many vegetables as I can.",patient
OK. And do you smoke cigarettes at all?,doctor
I do yes. Been smoking for the last 20 years roughly.,patient
"OK, how much do you smoke on an average day?",doctor
About a half a pack to a pack a day.,patient
OK. And do you drink?,doctor
